Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1990;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26241;Número;
1990;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27971;Número;
1990;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1990;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28156;Número;
1990;Nacimientos de hombres residentes;Otros;;;25827;Número;
1990;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1990;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1990;Total defunciones de residentes;Otros;;;34903;Número;
1990;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;26852;Número;
1990;Defunciones de residentes mujeres;Otros;;;16422;Número;
1990;Nacimientos de mujeres residentes;Otros;;;24108;Número;
1990;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29191;Número;
1990;Total nacimientos de residentes;Otros;;;49935;Número;
1991;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26544;Número;
1991;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28598;Número;
1991;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29529;Número;
1991;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27234;Número;
1991;Total nacimientos de residentes;Otros;;;49293;Número;
1991;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1991;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1991;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1991;Defunciones de residentes mujeres;Otros;;;16801;Número;
1991;Defunciones de residentes hombres;Otros;;;19048;Número;
1991;Total defunciones de residentes;Otros;;;35849;Número;
1991;Nacimientos de mujeres residentes;Otros;;;23919;Número;
1991;Nacimientos de hombres residentes;Otros;;;25374;Número;
1991;Total esposas de matrimonios de distinto sexo residentes;Otros;;;28413;Número;
1992;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1992;Nacimientos de mujeres residentes;Otros;;;24565;Número;
1992;Total nacimientos de residentes;Otros;;;50669;Número;
1992;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1992;Total defunciones de residentes;Otros;;;34905;Número;
1992;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1992;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26483;Número;
1992;Nacimientos de hombres residentes;Otros;;;26104;Número;
1992;Defunciones de residentes hombres;Otros;;;18705;Número;
1992;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29573;Número;
1992;Total esposas de matrimonios de distinto sexo residentes;Otros;;;28392;Número;
1992;Defunciones de residentes mujeres;Otros;;;16200;Número;
1992;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28557;Número;
1992;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27103;Número;
1993;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1993;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1993;Total nacimientos de residentes;Otros;;;49499;Número;
1993;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;25335;Número;
1993;Defunciones de residentes mujeres;Otros;;;16545;Número;
1993;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;27567;Número;
